rule_id,scope,topic,description,sap_ref,severity,check,params,status,owner,version,created_by,created_at
R-001,tlf,big_n,Big N in each column header equals the analysis-population count in ADSL (Safety: SAFFL='Y' by TRT01A).,SAP 4.5,major,check_bign,{},draft,Biostatistics,1,SpecGen sample seed,2026-09-19T10:00:00
R-002,tlf,population_filter,Demographic and safety tables are built on the Safety Population.,SAP 4.3,critical,check_population_filter,"{""table_populations"": {""14.1.1"": ""safety"", ""14.3.1"": ""safety"", ""14.3.2"": ""safety""}}",draft,Biostatistics,1,SpecGen sample seed,2026-09-19T10:00:00
R-003,cross,cross_table_n,The same N is used for a treatment group in every Safety Population table.,SAP 4.5,major,check_cross_table_n,{},draft,Biostatistics,1,SpecGen sample seed,2026-09-19T10:00:00
R-004,adam,baseline_per_period,Baseline is defined per treatment period: ABLFL='Y' in each period a subject has records in.,SAP 5.1,major,check_baseline_per_period,"{""dataset"": ""ADVS""}",draft,Biostatistics,1,SpecGen sample seed,2026-09-19T10:00:00
R-005,adam,visit_windows,"Analysis visits use the SAP windows (Baseline up to Day 1, Week 4 22-35, Week 8 50-63).",SAP 5.2,major,check_visit_windows,"{""dataset"": ""ADVS"", ""day_var"": ""ADY"", ""windows"": {""Baseline"": [null, 1], ""Week 4"": [22, 35], ""Week 8"": [50, 63]}}",draft,Biostatistics,1,SpecGen sample seed,2026-09-19T10:00:00
R-006,adam,teae_window,TEAE is onset on or after first dose and on or before last dose + 7 days (TRTEMFL).,SAP 6.2,critical,check_teae_window,"{""window_days"": 7}",draft,Biostatistics,1,SpecGen sample seed,2026-09-19T10:00:00
R-007,tlf,percentages,"Printed percentages are n divided by the column Big N, shown to one decimal place.",SAP 7.2,major,check_percentages,{},draft,Biostatistics,1,SpecGen sample seed,2026-09-19T10:00:00
R-008,tlf,totals,The Total column equals the sum of the treatment arms.,SAP 7.2,major,check_totals,{},draft,Biostatistics,1,SpecGen sample seed,2026-09-19T10:00:00
R-009,tlf,soc_pt,"A subject is counted once per SOC and once per PT, so a SOC count is at least its largest PT.",SAP 7.3,major,check_soc_pt,{},draft,Biostatistics,1,SpecGen sample seed,2026-09-19T10:00:00
R-010,cross,tlf_inventory,Every table in the SAP table inventory is delivered.,SAP 9,major,check_tlf_inventory,"{""tables"": [{""id"": ""14.1.1"", ""title"": ""Summary of Demographic and Baseline Characteristics""}, {""id"": ""14.3.1"", ""title"": ""Overview of Treatment-Emergent Adverse Events""}, {""id"": ""14.3.2"", ""title"": ""Treatment-Emergent Adverse Events by System Organ Class and Preferred Term""}]}",draft,Biostatistics,1,SpecGen sample seed,2026-09-19T10:00:00
